timestamp,roadName,congestionValue,incidentCount,rainFlag,isHoliday
2026-01-01 00:00:00,i10West,0.377,0,0,1
2026-01-01 00:00:00,i10Central,0.456,0,0,1
2026-01-01 00:00:00,i10East,0.387,0,0,1
2026-01-01 00:00:00,mesa,0.198,0,0,1
2026-01-01 00:00:00,sunland,0.182,0,0,1
2026-01-01 00:00:00,us54,0.289,0,0,1
2026-01-01 00:00:00,paisano,0.27,0,0,1
2026-01-01 00:00:00,loop375,0.287,0,0,1
2026-01-01 01:00:00,i10West,0.499,0,1,1
2026-01-01 01:00:00,i10Central,0.584,0,1,1
2026-01-01 01:00:00,i10East,0.519,0,1,1
2026-01-01 01:00:00,mesa,0.4,1,1,1
2026-01-01 01:00:00,sunland,0.269,0,1,1
2026-01-01 01:00:00,us54,0.346,0,1,1
2026-01-01 01:00:00,paisano,0.306,0,1,1
2026-01-01 01:00:00,loop375,0.359,0,1,1
2026-01-01 02:00:00,i10West,0.419,0,0,1
2026-01-01 02:00:00,i10Central,0.484,0,0,1
2026-01-01 02:00:00,i10East,0.37,0,0,1
2026-01-01 02:00:00,mesa,0.217,0,0,1
2026-01-01 02:00:00,sunland,0.23,0,0,1
2026-01-01 02:00:00,us54,0.329,0,0,1
2026-01-01 02:00:00,paisano,0.25,0,0,1
2026-01-01 02:00:00,loop375,0.262,0,0,1
2026-01-01 03:00:00,i10West,0.42,0,0,1
2026-01-01 03:00:00,i10Central,0.496,0,0,1
2026-01-01 03:00:00,i10East,0.407,0,0,1
2026-01-01 03:00:00,mesa,0.263,0,0,1
2026-01-01 03:00:00,sunland,0.217,0,0,1
2026-01-01 03:00:00,us54,0.338,0,0,1
2026-01-01 03:00:00,paisano,0.275,0,0,1
2026-01-01 03:00:00,loop375,0.282,0,0,1
2026-01-01 04:00:00,i10West,0.394,0,0,1
2026-01-01 04:00:00,i10Central,0.62,1,0,1
2026-01-01 04:00:00,i10East,0.412,0,0,1
2026-01-01 04:00:00,mesa,0.267,0,0,1
2026-01-01 04:00:00,sunland,0.25,0,0,1
2026-01-01 04:00:00,us54,0.333,0,0,1
2026-01-01 04:00:00,paisano,0.286,0,0,1
2026-01-01 04:00:00,loop375,0.26,0,0,1
2026-01-01 05:00:00,i10West,0.421,0,0,1
2026-01-01 05:00:00,i10Central,0.544,0,0,1
2026-01-01 05:00:00,i10East,0.483,0,0,1
2026-01-01 05:00:00,mesa,0.268,0,0,1
2026-01-01 05:00:00,sunland,0.249,0,0,1
2026-01-01 05:00:00,us54,0.364,0,0,1
2026-01-01 05:00:00,paisano,0.29,0,0,1
2026-01-01 05:00:00,loop375,0.308,0,0,1
2026-01-01 06:00:00,i10West,0.67,1,0,1
2026-01-01 06:00:00,i10Central,0.693,0,0,1
2026-01-01 06:00:00,i10East,0.55,0,0,1
2026-01-01 06:00:00,mesa,0.364,0,0,1
2026-01-01 06:00:00,sunland,0.301,0,0,1
2026-01-01 06:00:00,us54,0.422,0,0,1
2026-01-01 06:00:00,paisano,0.325,0,0,1
2026-01-01 06:00:00,loop375,0.361,0,0,1
2026-01-01 07:00:00,i10West,0.627,0,0,1
2026-01-01 07:00:00,i10Central,0.737,0,0,1
2026-01-01 07:00:00,i10East,0.645,0,0,1
2026-01-01 07:00:00,mesa,0.451,0,0,1
2026-01-01 07:00:00,sunland,0.41,0,0,1
2026-01-01 07:00:00,us54,0.445,0,0,1
2026-01-01 07:00:00,paisano,0.372,0,0,1
2026-01-01 07:00:00,loop375,0.415,0,0,1
2026-01-01 08:00:00,i10West,0.652,0,0,1
2026-01-01 08:00:00,i10Central,0.796,0,0,1
2026-01-01 08:00:00,i10East,0.776,1,0,1
2026-01-01 08:00:00,mesa,0.446,0,0,1
2026-01-01 08:00:00,sunland,0.436,0,0,1
2026-01-01 08:00:00,us54,0.484,0,0,1
2026-01-01 08:00:00,paisano,0.463,0,0,1
2026-01-01 08:00:00,loop375,0.454,0,0,1
2026-01-01 09:00:00,i10West,0.638,0,0,1
2026-01-01 09:00:00,i10Central,0.741,0,0,1
2026-01-01 09:00:00,i10East,0.603,0,0,1
2026-01-01 09:00:00,mesa,0.432,0,0,1
2026-01-01 09:00:00,sunland,0.423,0,0,1
2026-01-01 09:00:00,us54,0.467,0,0,1
2026-01-01 09:00:00,paisano,0.402,0,0,1
2026-01-01 09:00:00,loop375,0.473,0,0,1
2026-01-01 10:00:00,i10West,0.585,0,0,1
2026-01-01 10:00:00,i10Central,0.673,0,0,1
2026-01-01 10:00:00,i10East,0.575,0,0,1
2026-01-01 10:00:00,mesa,0.371,0,0,1
2026-01-01 10:00:00,sunland,0.351,0,0,1
2026-01-01 10:00:00,us54,0.419,0,0,1
2026-01-01 10:00:00,paisano,0.337,0,0,1
2026-01-01 10:00:00,loop375,0.382,0,0,1
2026-01-01 11:00:00,i10West,0.479,0,0,1
2026-01-01 11:00:00,i10Central,0.563,0,0,1
2026-01-01 11:00:00,i10East,0.464,0,0,1
2026-01-01 11:00:00,mesa,0.268,0,0,1
2026-01-01 11:00:00,sunland,0.286,0,0,1
