date,date_index,year,month,month_sin,month_cos,day_of_month,day_of_week,day_of_week_num,day_of_week_sin,day_of_week_cos,is_weekend,is_major_us_holiday,is_holiday_window,holiday_name,hour,hour_sin,hour_cos,is_morning_rush,is_evening_rush,is_night,direction,direction_code,median_daily_traffic,median_adjusted_daily_traffic,median_speed_limit,median_number_of_lanes,median_latitude_for_direction_year,median_longitude_for_direction_year,lag_1h_crashes,lag_2h_crashes,lag_3h_crashes,lag_24h_crashes,lag_168h_crashes,rolling_6h_avg_crashes,rolling_24h_avg_crashes,rolling_168h_avg_crashes,rolling_720h_avg_crashes,same_hour_last_7d_avg_crashes,previous_24h_total_crashes,previous_168h_total_crashes,crash_binary,crash_count,risk_level,risk_target
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,0,0.0,1.0,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,1,0.258819,0.965926,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,2,0.5,0.866025,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,MEDIUM,1
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,3,0.707107,0.707107,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,1,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.0,1,1,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,4,0.866025,0.5,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,1,0,0,0,0.25,0.25,0.25,0.25,0.0,1,1,1,1,MEDIUM,1
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,5,0.965926,0.258819,0,0,1,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,1,0,1,0,0,0.4,0.4,0.4,0.4,0.0,2,2,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,6,1.0,0.0,0,0,0,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,1,0,0,0,0.333333,0.333333,0.333333,0.333333,0.0,2,2,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,7,0.965926,-0.258819,1,0,0,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,1,0,0,0.333333,0.285714,0.285714,0.285714,0.0,2,2,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,8,0.866025,-0.5,1,0,0,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,0,0,0,0.333333,0.25,0.25,0.25,0.0,2,2,0,0,LOW,0
2023-04-01,0,2023,4,0.866025,-0.5,1,Saturday,5,-0.974928,-0.222521,1,0,0,,9,0.707107,-0.707107,1,0,0,West,0,172647.0,172647.0,60.0,8.0,31.77156592,-106.39250824,0,0,0,0,0,0.166667,0.222222,0.222222,0.222222,0.0,2,2,0,0,LOW,0
